month,korea-travel,japan-travel,america-travel,won-rate-d,yen-rate-d,won-rate-y
201901,2912331,206526,62737,1112.7,108.8,1023
201902,2617946,213200,57732,1124.7,110.8,1015.5
201903,2334153,375119,84275,1135.1,110.7,1025.5
201904,2246417,290092,102524,1168.2,111.4,1048.8
201905,2401204,286273,95815,1190.9,108.9,1093.3
201906,2495798,282476,105398,1154.7,107.7,1072.2
201907,2642585,274830,97428,1183.1,108.5,1090.2
201908,2427634,329652,86586,1211.2,106.3,1139
201909,2049830,251119,90819,1196.2,107.8,1109.5
201910,2153847,248541,101099,1163.4,108.7,1070.5
201911,2090192,258522,82238,1181.2,109.5,1078.8
201912,2342310,255356,77387,1156.4,109.1,1059.8
202001,2513030,203969,67255,1191.8,109,1093.1
202002,1046779,211199,42439,1213.7,108.9,1114.8
202003,143366,8347,10570,1217.4,108.4,1123.5
202004,31425,360,6417,1218.2,106.6,1143.3
202005,37802,413,8735,1238.5,107.2,1155.3
202006,48353,498,9717,1203,107.7,1116.6
202007,65936,755,11922,1191.3,104.4,1141.4
202008,88888,1275,13368,1187.8,105.7,1124
202009,76798,794,12426,1169.5,105.6,1107.3
202010,71970,927,12366,1135.1,104.3,1088.8
202011,70686,1254,13100,1106.5,103.9,1065.2
202012,80973,951,12102,1086.3,103.3,1051.2
202101,86143,1299,12013,1118.8,104.5,1070.7
202102,68213,1719,11212,1123.5,106.2,1058.4
202103,73999,949,12321,1131.8,110.7,1022.2
202104,71302,872,12944,1112.3,108.8,1022.4
202105,75416,1403,17278,1110.9,109.7,1012.3
202106,79446,875,18159,1126.1,110.5,1019.3
202107,101963,881,21775,1150.3,109.6,1049.5
202108,137712,2258,20561,1159.5,109.8,1055.9
202109,116615,1142,19227,1184,111.9,1058.1
202110,124399,1237,21607,1168.6,113.5,1029.4
202112,139426,1623,20123,1187.9,113.2,1049.5
202111,147907,1007,16805,1188.8,115.1,1032.5
202201,147434,1162,15570,1205.5,115.4,1044.9
202202,112722,2934,15845,1202.3,115.5,1040.9
202203,145503,1397,16968,1212.1,121.8,995.5
202204,215246,2231,30882,1255.9,130.2,964.3
202205,315945,3701,42490,1237.2,127.8,967.8
202206,412798,5855,55444,1298.4,136.2,953.2
202207,674022,11789,53942,1299.1,132.5,984.1
202208,702153,26482,50299,1337.6,138.5,966
202209,619954,27560,60435,1430.2,144.5,989.9
202210,773480,67159,73560,1424.3,147.8,963.2
202211,1041431,62422,64861,1318.8,138.4,952.6
202212,1393343,84175,63352,1264.5,133.7,945.6
202301,1782313,66900,49120,1231.9,130.2,946
202302,1724880,94393,46204,1322.6,136.3,970.5
202303,1472193,192318,86430,1301.9,132.9,979.6
202304,1497105,128309,108818,1337.7,135.2,989.4
202305,1683022,183691,101915,1327.2,139.5,951.1
202306,1771962,196512,121378,1317.7,144.6,911.4
202307,2153857,211468,104823,1274.6,141.7,899.8
202308,2093236,263453,83250,1321.8,146,905.5
202309,2017157,250102,96925,1349.3,149.1,904.8
202310,2042703,255092,115763,1350.5,150.1,899.7
202311,2061646,278322,93498,1290,147,877.8
202312,2415767,195869,78291,1288,141.2,912.3
202401,2770866,143152,61754,1334.6,147.8,902.9
202402,2512109,183999,62607,1331.5,149.8,888.9
202403,2141992,338742,119955,1347.2,151.4,889.8
202404,2110954,229252,122728,1382,156.8,881.2
202405,2268310,278423,122694,1384.5,156.9,882.3
202406,2219151,258431,151721,1376.7,160.9,855.6
202407,2501969,242953,120874,1376.5,152.8,900.9
202408,2359550,323465,102057,1336,145,921.2
202409,2311792,310652,109695,1307.8,141.8,922.4
202410,2382464,323266,141152,1379.9,152.7,903.6
202411,2391140,341198,108982,1394.7,150.1,929.4
202412,2716138,250546,95889,1472.5,157.9,932.7
